id,name,type,bitwidth,num_elements,regularBins,bypassBins,totalBins,ops_total,mem,branches,loops,bins_per_weight,ops_per_bin,branches_per_bin,mem_per_bin,ops_per_weight
327,features.6.1.block.3.1.running_mean,buffer,32,192,192,4,196,3289,480,1058,2,1.0208333333333333,16.78061224489796,5.3979591836734695,2.4489795918367347,17.130208333333332
328,features.6.1.block.3.1.running_var,buffer,32,192,192,4,196,3291,481,1059,2,1.0208333333333333,16.790816326530614,5.403061224489796,2.454081632653061,17.140625
329,features.6.1.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,269,7,55,37,37.0,7.27027027027027,1.4864864864864864,0.1891891891891892,269.0
330,features.6.2.block.0.1.running_mean,buffer,32,1152,1703,4,1707,26877,4053,8615,187,1.4817708333333333,15.745166959578208,5.046865846514352,2.374340949033392,23.330729166666668
331,features.6.2.block.0.1.running_var,buffer,32,1152,9538,3542,13080,145892,20246,40529,4337,11.354166666666666,11.153822629969419,3.0985474006116207,1.5478593272171255,126.64236111111111
332,features.6.2.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
333,features.6.2.block.1.1.running_mean,buffer,32,1152,1155,4,1159,19649,2887,6351,3,1.0060763888888888,16.953408110440034,5.4797238999137186,2.4909404659188956,17.05642361111111
334,features.6.2.block.1.1.running_var,buffer,32,1152,1162,4,1166,19744,2900,6381,6,1.0121527777777777,16.933104631217837,5.472555746140652,2.4871355060034306,17.13888888888889
335,features.6.2.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
336,features.6.2.block.3.1.running_mean,buffer,32,192,192,4,196,3289,480,1058,2,1.0208333333333333,16.78061224489796,5.3979591836734695,2.4489795918367347,17.130208333333332
337,features.6.2.block.3.1.running_var,buffer,32,192,192,4,196,3291,481,1059,2,1.0208333333333333,16.790816326530614,5.403061224489796,2.454081632653061,17.140625
338,features.6.2.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
339,features.6.3.block.0.1.running_mean,buffer,32,1152,3730,8,3738,53387,8340,16970,1034,3.2447916666666665,14.282236490101658,4.539860888175495,2.231139646869984,46.34288194444444
340,features.6.3.block.0.1.running_var,buffer,32,1152,9711,4240,13951,152703,20677,42091,4784,12.110243055555555,10.945666977277615,3.017059708981435,1.482115977349294,132.5546875
341,features.6.3.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
342,features.6.3.block.1.1.running_mean,buffer,32,1152,1158,4,1162,19691,2894,6364,4,1.0086805555555556,16.94578313253012,5.476764199655766,2.4905335628227196,17.092881944444443
343,features.6.3.block.1.1.running_var,buffer,32,1152,1158,4,1162,19695,2893,6365,4,1.0086805555555556,16.94922547332186,5.477624784853701,2.489672977624785,17.096354166666668
344,features.6.3.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
345,features.6.3.block.3.1.running_mean,buffer,32,192,192,4,196,3293,481,1059,2,1.0208333333333333,16.801020408163264,5.403061224489796,2.454081632653061,17.151041666666668
346,features.6.3.block.3.1.running_var,buffer,32,192,192,4,196,3289,480,1058,2,1.0208333333333333,16.78061224489796,5.3979591836734695,2.4489795918367347,17.130208333333332
347,features.6.3.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
348,features.7.0.block.0.1.running_mean,buffer,32,1152,5246,17,5263,73044,11378,23359,2121,4.568576388888889,13.878776363290898,4.438343150294509,2.1618848565456963,63.40625
349,features.7.0.block.0.1.running_var,buffer,32,1152,10132,7890,18022,183693,21973,50469,8061,15.644097222222221,10.192708911330596,2.8004106092553545,1.2192320497170126,159.45572916666666
350,features.7.0.block.0.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
351,features.7.0.block.1.1.running_mean,buffer,32,1152,1256,4,1260,20969,3100,6766,42,1.09375,16.642063492063492,5.369841269841269,2.4603174603174605,18.202256944444443
352,features.7.0.block.1.1.running_var,buffer,32,1152,1152,4,1156,19609,2880,6338,2,1.0034722222222223,16.96280276816609,5.482698961937716,2.491349480968858,17.02170138888889
353,features.7.0.block.1.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
354,features.7.0.block.3.1.running_mean,buffer,32,320,320,4,324,5465,800,1762,2,1.0125,16.867283950617285,5.438271604938271,2.4691358024691357,17.078125
355,features.7.0.block.3.1.running_var,buffer,32,320,529,4,533,8364,1230,2679,73,1.665625,15.692307692307692,5.026266416510319,2.3076923076923075,26.1375
356,features.7.0.block.3.1.num_batches_tracked,buffer,32,1,1,36,37,271,7,55,37,37.0,7.324324324324325,1.4864864864864864,0.1891891891891892,271.0
357,features.8.1.running_mean,buffer,32,1280,1280,4,1284,21785,3200,7042,2,1.003125,16.96651090342679,5.484423676012461,2.4922118380062304,17.01953125
358,features.8.1.running_var,buffer,32,1280,8901,52,8953,119666,18674,38657,5068,6.99453125,13.366022562269631,4.317770579693957,2.085781302356752,93.4890625
